measured_data
670.97
672.91
671.48
670.97
674.24
672.3
670.26
672.81
671.08
670.26
669.65
671.89
671.28
670.06
673.01
671.59
669.75
673.73
671.08
671.38
670.26
671.69
670.67
670.97
670.36
671.18
672.6
670.06
672.3
670.06
669.04
671.28
670.77
671.48
671.99
669.95
670.26
669.75
668.83
668.73
669.24
670.57
666.49
668.42
668.02
669.44
664.55
664.45
666.79
667.91
666.89
668.42
667.61
664.75
660.27
667
667.51
665.36
660.88
660.27
664.65
664.55
664.24
665.36
660.88
662.71
665.06
663.43
658.33
662.2
661.9
665.98
662.61
663.22
658.63
661.9
667.1
660.78
667.3
659.76
665.47
661.49
657.61
664.96
660.27
660.37
665.26
662
656.6
661.9
659.55
663.73
663.63
664.75
662.92
664.45
663.43
665.16
665.87
664.55
664.75
663.73
664.65
664.55
665.26
666.59
668.53
668.63
669.44
670.46
670.46
670.97
671.38
671.89
671.99
672.71
671.69
670.06
669.34
669.44
669.75
669.55
667.91
667.71
666.79
665.06
664.65
664.55
663.33
661.9
660.16
660.27
666.89
665.26
664.45
662.41
662.71
660.57
659.04
666.18
665.16
664.65
663.12
661.8
660.27
668.83
666.69
664.96
665.36
668.32
665.98
665.87
673.83
672.3
670.77
669.75
667.91
666.79
665.06
672.5
670.77
670.36
668.73
667.2
666.08
677.4
673.93
671.38
669.44
667.51
666.79
665.57
673.83
671.99
671.08
667.4
675.77
667.71
664.65
667.2
668.83
669.24
661.8
664.45
665.87
673.32
662.71
664.75
667
669.24
661.8
665.47
668.83
669.85
663.53
668.22
662.2
667
666.59
660.88
662.31
662.92
667.1
656.09
659.86
662
666.69
660.67
657.61
660.57
663.53
656.29
661.39
652.62
658.84
653.03
657.82
667.91
664.96
654.66
658.33
665.47
656.29
658.33
654.86
660.27
659.76
654.56
663.84
662.31
655.17
664.35
659.65
655.78
657.92
656.49
657.72
658.23
667.3
668.93
669.65
669.65
671.18
671.28
671.89
672.71
673.11
674.85
675.56
675.77
676.28
